id,name
abc-news,"ABC News"
bbc-news,"BBC News"
bloomberg,Bloomberg
breitbart-news,"Breitbart News"
business-insider,"Business Insider"
buzzfeed,Buzzfeed
cbs-news,"CBS News"
cnbc,CNBC
cnn,CNN
financial-times,"Financial Times"
fortune,Fortune
fox-news,"Fox News"
mirror,Mirror
msnbc,MSNBC
national-review,"National Review"
nbc-news,"NBC News"
newsweek,Newsweek
politico,Politico
the-economist,"The Economist"
the-guardian-uk,"The Guardian (UK)"
the-hill,"The Hill"
the-huffington-post,"The Huffington Post"
the-jerusalem-post,"The Jerusalem Post"
the-new-york-times,"The New York Times"
the-verge,"The Verge"
the-wall-street-journal,"The Wall Street Journal"
the-washington-post,"The Washington Post"
the-washington-times,"The Washington Times"
time,Time
usa-today,"USA Today"
vice-news,"Vice News"
