id,name,oldest,newest
abc-news,"ABC News","2018-06-04 00:00:00","2018-06-05 01:24:14"
bbc-news,"BBC News","2018-06-04 00:00:00","2018-06-05 01:37:14"
bloomberg,Bloomberg,"2018-06-04 00:00:00","2018-06-05 00:19:57"
breitbart-news,"Breitbart News","2018-06-04 00:00:00","2018-06-04 23:57:10"
business-insider,"Business Insider","2018-06-04 00:00:00","2018-06-05 01:12:25"
buzzfeed,Buzzfeed,"2018-06-04 00:00:00","2018-06-05 05:36:03"
cbs-news,"CBS News","2018-06-04 00:00:00","2018-06-05 01:30:56"
cnbc,CNBC,"2018-05-29 00:00:00","2018-06-05 02:16:00"
cnn,CNN,"2018-05-29 00:00:00","2018-06-05 02:22:49"
financial-times,"Financial Times","2018-05-29 00:00:00","2018-06-05 01:32:39"
fortune,Fortune,"2018-05-29 00:00:00","2018-06-05 00:57:55"
fox-news,"Fox News","2018-05-29 00:00:00","2018-06-05 00:50:44"
mirror,Mirror,"2018-05-29 00:00:00","2018-06-05 01:26:46"
msnbc,MSNBC,"2018-05-29 00:00:00","2018-06-05 01:28:08"
national-review,"National Review","2018-05-29 00:00:00","2018-06-05 00:00:16"
nbc-news,"NBC News","2018-05-29 00:00:00","2018-06-05 01:05:00"
newsweek,Newsweek,"2018-05-29 00:00:00","2018-06-05 01:21:12"
politico,Politico,"2018-05-29 00:00:00","2018-06-05 01:06:31"
the-economist,"The Economist","2018-05-29 00:00:00","2018-06-04 17:40:49"
the-guardian-uk,"The Guardian (UK)","0000-00-00 00:00:00","2018-06-04 00:00:00"
the-hill,"The Hill","2018-05-29 00:00:00","2018-06-05 01:22:26"
the-huffington-post,"The Huffington Post","2018-05-29 00:00:00","2018-06-05 01:08:36"
the-jerusalem-post,"The Jerusalem Post","2018-05-29 00:00:00","2018-06-05 01:19:17"
the-new-york-times,"The New York Times","2018-05-29 00:00:00","2018-06-05 01:21:21"
the-verge,"The Verge","2018-05-28 00:00:00","2018-06-05 02:30:02"
the-wall-street-journal,"The Wall Street Journal","2018-05-29 00:00:00","2018-06-04 14:22:24"
the-washington-post,"The Washington Post","2018-06-04 00:00:00","2018-06-05 01:34:38"
the-washington-times,"The Washington Times","2018-05-29 00:00:00","2018-06-04 13:06:33"
time,Time,"2018-06-04 00:00:00","2018-06-05 01:26:43"
usa-today,"USA Today","2018-05-29 00:00:00","2018-06-05 01:32:39"
vice-news,"Vice News","2018-05-29 00:00:00","2018-06-04 23:51:32"
